date,interp_P,p_err,type
2023-05-04,1014.25,0.25,observed
2023-05-05,1015.1291666666666,0.25,observed
2023-05-06,1012.9,0.25,observed
2023-05-07,1011.025,0.25,observed
2023-05-08,1010.1791666666668,0.25,observed
2023-05-09,1008.6125,0.25,observed
2023-05-10,1010.6,0.25,observed
2023-05-11,1012.2208333333332,0.25,observed
2023-05-12,1010.3125,0.25,observed
2023-05-13,1004.2541666666666,0.25,observed
2023-05-14,1004.9666666666668,0.25,observed
2023-05-15,999.9708333333332,0.25,observed
2023-05-16,1005.5666666666666,0.25,observed
2023-05-17,1010.1666666666666,0.25,observed
2023-05-18,1007.5125,0.25,observed
2023-05-19,999.725,0.25,observed
2023-05-20,996.7625,0.25,observed
2023-05-21,1003.4375,0.25,observed
2023-05-22,1006.8875,0.25,observed
2023-05-23,1007.7083333333331,0.25,observed
2023-05-24,1006.2875,0.25,observed
2023-05-25,1005.9416666666668,0.25,observed
2023-05-26,1010.3958333333334,0.25,observed
2023-05-27,1011.0166666666668,0.25,observed
2023-05-28,1008.8333333333331,0.25,observed
2023-05-29,1007.3625,0.25,observed
2023-05-30,1007.6331875,8.478515536014514,interpolated
2023-05-31,1007.903875,8.478515536014514,interpolated
2023-06-01,1008.1745625,8.478515536014514,interpolated
2023-06-02,1008.44525,0.25,observed
2023-06-03,1009.7183333333332,0.25,observed
2023-06-04,1008.4941666666666,0.25,observed
2023-06-05,1008.2775,8.933115668990702,interpolated
2023-06-06,1008.0608333333332,0.25,observed
2023-06-07,1010.5858333333332,0.25,observed
2023-06-08,1009.2,0.25,observed
2023-06-09,1007.6379166666668,0.25,observed
2023-06-10,1006.5141666666668,0.25,observed
2023-06-11,1006.2075,0.25,observed
2023-06-12,1006.9770833333332,0.25,observed
2023-06-13,1005.4804166666668,0.25,observed
2023-06-14,1003.9916666666668,0.25,observed
2023-06-15,1006.3354166666668,0.25,observed
2023-06-16,1008.6266666666668,0.25,observed
2023-06-17,1010.1183333333332,0.25,observed
2023-06-18,1011.2883333333332,0.25,observed
2023-06-19,1012.0058333333332,0.25,observed
2023-06-20,1012.8308333333332,0.25,observed
2023-06-21,1012.595,0.25,observed
